Identifier	State	StaetCode	State Text	ACD
1156	AL	109	OPERATING UNSAFE CMV	
2752	AZ		NO PASSING ZONE - OVERTAKING OR PASSING	
2845	AZ		VIOLATION OF LIGHTED LAMPS REQUIREMENT	
2872	AZ		VIOLATION OF TAIL LAMP REQUIREMENTS	
4315	CT	029	EXCESSIVE OR UNUSUAL NOISE	
4660	CT	184	MCSAP VIOLATION	
7915	FL	382	BICYCLE REGULATIONS	
16075	FL		BICYCLE OFFENSE OVER 14YR OF AGE	
16873	MD		FAILURE TO ATTACH PLATES TO FRONT AND REAR OF VEHICLE	
28246	NY		PRD INV INS ID CD-MS	
28627	OH	MS	OHIO TURNPIKE	
45238	AZ		LAMP REQUIRED FOR LICENSE PLATE	
45586	NY		MISC VIOLATION	
52639	OH		JUVENILE MISCELLANEOUS	
54121	IL		OUT OF STATE CONVICTION	
58018	MN	XH2	UNDER 21 DRINKING & DRIVING	
58300	OH		REGISTRATION VIOLATION	
58531	MN	E70	DRIVE WITH EQUIP INTERFERING WITH VISION OR HEARING	
58534	NJ	138C	GDL HOURS OF OPERATION	
58591	NJ	138B	GDL PASSENGER RESTRICTIONS	
58726	NY		RULES ROAD VIO BICYC	
58729	OH		TITLE VIOLATION	
58774	MN		"UNCODED, PETTY MISDEMEANOR, MOVING VIOLATION"	
58858	OH		WRG ENTRST 4511.203A 1-3	
58909	MD		DISPLAYING EXPIRED PLATES ISSUED BY ANY STATE	
58924	MD		DROP/THROW/PLACE TRASH/ INJURIOUS SUBSTANCE ON HWY(MV)	
58963	MD		HEARING-REPRIMAND	
58990	WI	PUP	PUP-PERMIT UNAUTHORIZED PERSON TO OPERATE	
58993	IN		PARKING VIOLATION	
58996	OH		DUS CHLD SUPP FAIL PY/APP	
59024	NY		FLD PROD LIC/REG	
59027	NY		TRUCK RTE VIOL-NYC	
59039	NY		BUS ON PARK/PARKWAY	
59042	NY		UNLAW DISPOS SUMMONS	
59048	NY		OVRWT/OVRSIZE ESC	
59054	NY		DRVG W/.08% ALCH PI	
59078	AL	108	NO MEDICAL CARD	
59147	AL	096	OTHER-MOVING AND TRAFFIC	
59183	NJ	0450	OPERATE UNDER INFLUENCE LIQ/DRUGS	
59189	NJ	138A	GDL SUPERVISION REQUIREMENT	
